slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,28/4/2013,1,135.3,135.98,132.1,134.21,0,1500520000,0.5438,3.88
bitcoin,BTC,Bitcoin,29/4/2013,1,134.44,147.49,134,144.54,0,1491160000,0.7813,13.49
bitcoin,BTC,Bitcoin,30/4/2013,1,144,146.93,134.05,139,0,1597780000,0.3843,12.88
bitcoin,BTC,Bitcoin,1/5/2013,1,139,139.89,107.72,116.99,0,1542820000,0.2882,32.17
bitcoin,BTC,Bitcoin,2/5/2013,1,116.38,125.6,92.28,105.21,0,1292190000,0.3881,33.32
bitcoin,BTC,Bitcoin,3/5/2013,1,106.25,108.13,79.1,97.75,0,1180070000,0.6424,29.03
bitcoin,BTC,Bitcoin,4/5/2013,1,98.1,115,92.5,112.5,0,1089890000,0.8889,22.5
bitcoin,BTC,Bitcoin,5/5/2013,1,112.9,118.8,107.14,115.91,0,1254760000,0.7521,11.66
bitcoin,BTC,Bitcoin,6/5/2013,1,115.98,124.66,106.64,112.3,0,1289470000,0.3141,18.02
bitcoin,BTC,Bitcoin,7/5/2013,1,112.25,113.44,97.7,111.5,0,1248470000,0.8767,15.74
bitcoin,BTC,Bitcoin,8/5/2013,1,109.6,115.78,109.6,113.57,0,1219450000,0.6424,6.18
bitcoin,BTC,Bitcoin,9/5/2013,1,113.2,113.46,109.26,112.67,0,1259980000,0.8119,4.2
bitcoin,BTC,Bitcoin,10/5/2013,1,112.8,122,111.55,117.2,0,1255970000,0.5407,10.45
bitcoin,BTC,Bitcoin,11/5/2013,1,117.7,118.68,113.01,115.24,0,1311050000,0.3933,5.67
bitcoin,BTC,Bitcoin,12/5/2013,1,115.64,117.45,113.44,115,0,1288630000,0.389,4.01
bitcoin,BTC,Bitcoin,13/5/2013,1,114.82,118.7,114.5,117.98,0,1279980000,0.8286,4.2
bitcoin,BTC,Bitcoin,14/5/2013,1,117.98,119.8,110.25,111.5,0,1315720000,0.1309,9.55
